Destination,Airline,Flight,Departure,Terminal,Status,Arrival_time,A_day,Scheduled,S_day
Washington (DCA),Republic Airlines,YX 3525,8:32 AM,C,Landed - On-time,9:47 AM,,9:58 AM,
Washington (DCA),United Airlines,UA 3525,8:32 AM,C,Landed - On-time,9:47 AM,,9:58 AM,
Cincinnati (CVG),Republic Airlines,YX 3556,8:35 AM,C,Landed - Delayed,11:25 AM,,10:57 AM,
Cincinnati (CVG),Air Canada,AC 4844,8:35 AM,C,Landed - Delayed,11:25 AM,,10:57 AM,
Cincinnati (CVG),United Airlines,UA 3556,8:35 AM,C,Landed - Delayed,11:25 AM,,10:57 AM,
Dallas (DFW),United Airlines,UA 676,8:35 AM,C,Landed - On-time,11:15 AM,,11:23 AM,
Orlando (MCO),Southwest Airlines,WN 2078,8:35 AM,A,Landed - On-time,11:30 AM,,11:30 AM,
Mexico City (MEX),United Airlines,UA 1063,8:35 AM,C,Landed - Delayed,1:08 PM,,12:50 PM,
Bentonville (XNA),Republic Airlines,YX 3602,8:35 AM,C,Landed - Delayed,11:25 AM,,11:04 AM,
Bentonville (XNA),Air Canada,AC 4703,8:35 AM,C,Landed - Delayed,11:25 AM,,11:04 AM,
Bentonville (XNA),United Airlines,UA 3602,8:35 AM,C,Landed - Delayed,11:25 AM,,11:04 AM,
Toronto (YYZ),Air Canada,AC 523,8:35 AM,A,Landed - On-time,10:18 AM,,10:07 AM,
Toronto (YYZ),United Airlines,UA 8563,8:35 AM,A,Landed - On-time,10:18 AM,,10:07 AM,
Louisville (SDF),UPS,5X 2075,8:40 AM,,Landed - On-time,10:49 AM,,,
Memphis (MEM),FedEx,FX 604,8:44 AM,,Landed - On-time,10:37 AM,,,
Bermuda (BDA),Cargojet,W8 245,8:45 AM,,Landed,,,11:45 AM,
Hartford (BDL),CommutAir,C5 4915,8:45 AM,A,Landed - On-time,9:47 AM,,10:03 AM,
Hartford (BDL),United Airlines,UA 4915,8:45 AM,A,Landed - On-time,9:47 AM,,10:03 AM,
Baltimore (BWI),Mountain Air Cargo,C2 8311,8:45 AM,,Landed - On-time,,,,
Key West (EYW),Republic Airlines,YX 3516,8:45 AM,A,Landed - Delayed,1:17 PM,,12:18 PM,
Key West (EYW),United Airlines,UA 3516,8:45 AM,A,Landed - Delayed,1:17 PM,,12:18 PM,
Minneapolis (MSP),Republic Airlines,YX 3423,8:45 AM,A,Landed - On-time,11:13 AM,,10:59 AM,
Minneapolis (MSP),United Airlines,UA 3423,8:45 AM,A,Landed - On-time,11:13 AM,,10:59 AM,
Louisville (SDF),ExpressJet,EV 4010,8:45 AM,A,Landed - On-time,11:11 AM,,11:22 AM,
Louisville (SDF),Air Canada,AC 3171,8:45 AM,A,Landed - On-time,11:11 AM,,11:22 AM,
Louisville (SDF),United Airlines,UA 4010,8:45 AM,A,Landed - On-time,11:11 AM,,11:22 AM,
Montreal (YUL),ExpressJet,EV 4067,8:45 AM,A,Landed - On-time,10:18 AM,,10:17 AM,
Montreal (YUL),Air Canada,AC 4601,8:45 AM,A,Landed - On-time,10:18 AM,,10:17 AM,
Montreal (YUL),United Airlines,UA 4067,8:45 AM,A,Landed - On-time,10:18 AM,,10:17 AM,
Las Vegas (LAS),United Airlines,UA 2138,8:48 AM,C,Landed - Delayed,11:55 AM,,11:25 AM,
Las Vegas (LAS),Azul,AD 7046,8:48 AM,C,Landed - Delayed,11:55 AM,,11:25 AM,
London (STN),UPS,5X 235,8:48 AM,,Landed,,,,
Columbus (CMH),CommutAir,C5 4999,8:50 AM,C,Landed - On-time,10:48 AM,,10:53 AM,
Columbus (CMH),United Airlines,UA 4999,8:50 AM,C,Landed - On-time,10:48 AM,,10:53 AM,
Montego Bay (MBJ),United Airlines,UA 1627,8:50 AM,C,Landed - On-time,12:03 PM,,11:45 AM,
Milwaukee (MKE),ExpressJet,EV 4011,8:50 AM,A,Landed - On-time,10:28 AM,,10:26 AM,
Milwaukee (MKE),United Airlines,UA 4011,8:50 AM,A,Landed - On-time,10:28 AM,,10:26 AM,
Raleigh/Durham (RDU),GoJet Airlines,G7 6194,8:50 AM,B,Landed - On-time,10:30 AM,,10:50 AM,
Raleigh/Durham (RDU),Delta Air Lines,DL 6194,8:50 AM,B,Landed - On-time,10:30 AM,,10:50 AM,
Toronto (YTZ),Porter Airlines,PD 122,8:55 AM,B,Landed - On-time,,,10:40 AM,
Buffalo (BUF),CommutAir,C5 4987,8:56 AM,C,Landed - On-time,10:35 AM,,10:21 AM,
Buffalo (BUF),United Airlines,UA 4987,8:56 AM,C,Landed - On-time,10:35 AM,,10:21 AM,
Chicago (ORD),United Airlines,UA 426,8:59 AM,C,Landed - On-time,10:39 AM,,10:25 AM,
Chicago (ORD),Air Canada,AC 4453,8:59 AM,C,Landed - On-time,10:39 AM,,10:25 AM,
Chicago (ORD),ANA,NH 7469,8:59 AM,C,Landed - On-time,10:39 AM,,10:25 AM,
Pittsburgh (PIT),Republic Airlines,YX 3425,8:59 AM,C,Canceled,,,10:42 AM,
Pittsburgh (PIT),United Airlines,UA 3425,8:59 AM,C,Canceled,,,10:42 AM,
Raleigh/Durham (RDU),Republic Airlines,YX 3430,8:59 AM,C,Landed - On-time,10:43 AM,,10:53 AM,
Raleigh/Durham (RDU),United Airlines,UA 3430,8:59 AM,C,Landed - On-time,10:43 AM,,10:53 AM,
Detroit (DTW),Delta Air Lines,DL 701,9:00 AM,B,Landed - On-time,10:55 AM,,11:08 AM,
Detroit (DTW),China Southern Airlines,CZ 1057,9:00 AM,B,Landed - On-time,10:55 AM,,11:08 AM,
Detroit (DTW),Virgin Atlantic,VS 4467,9:00 AM,B,Landed - On-time,10:55 AM,,11:08 AM,
Punta Cana (PUJ),United Airlines,UA 1514,9:00 AM,C,Landed - Delayed,3:18 PM,,1:00 PM,
Santo Domingo (SDQ),United Airlines,UA 1470,9:00 AM,C,Landed - On-time,12:49 PM,,12:50 PM,
San Francisco (SFO),United Airlines,UA 671,9:00 AM,C,Landed - On-time,12:24 PM,,12:18 PM,
San Francisco (SFO),Air New Zealand,NZ 9126,9:00 AM,C,Landed - On-time,12:24 PM,,12:18 PM,
Chattanooga (CHA),ExpressJet,EV 4115,9:01 AM,A,Landed - On-time,11:53 AM,,11:24 AM,
Chattanooga (CHA),United Airlines,UA 4115,9:01 AM,A,Landed - On-time,11:53 AM,,11:24 AM,
Denver (DEN),United Airlines,UA 2427,9:05 AM,C,Landed - Delayed,11:48 AM,,11:23 AM,
Denver (DEN),Southwest Airlines,WN 840,9:05 AM,A,Canceled,,,11:35 AM,
West Palm Beach (PBI),United Airlines,UA 1489,9:05 AM,C,Landed - Delayed,12:42 PM,,11:58 AM,
West Palm Beach (PBI),Air Canada,AC 5018,9:05 AM,C,Landed - Delayed,12:42 PM,,11:58 AM,
Los Angeles (LAX),United Airlines,UA 1148,9:06 AM,C,Landed - Delayed,12:27 PM,,12:00 PM,
Los Angeles (LAX),Azul,AD 7042,9:06 AM,C,Landed - Delayed,12:27 PM,,12:00 PM,
Los Angeles (LAX),Air China,CA 7361,9:06 AM,C,Landed - Delayed,12:27 PM,,12:00 PM,
Los Angeles (LAX),Air New Zealand,NZ 9530,9:06 AM,C,Landed - Delayed,12:27 PM,,12:00 PM,
Jacksonville (JAX),CommutAir,C5 4909,9:10 AM,C,Landed - On-time,11:55 AM,,11:58 AM,
Jacksonville (JAX),Air Canada,AC 4661,9:10 AM,C,Landed - On-time,11:55 AM,,11:58 AM,
Jacksonville (JAX),United Airlines,UA 4909,9:10 AM,C,Landed - On-time,11:55 AM,,11:58 AM,
Memphis (MEM),FedEx,FX 439,9:15 AM,,Landed - Delayed,11:26 AM,,,
Portland (PWM),CommutAir,C5 4972,9:15 AM,C,Landed - On-time,10:39 AM,,10:49 AM,
Portland (PWM),Air Canada,AC 3655,9:15 AM,C,Landed - On-time,10:39 AM,,10:49 AM,
Portland (PWM),United Airlines,UA 4972,9:15 AM,C,Landed - On-time,10:39 AM,,10:49 AM,
Syracuse (SYR),CommutAir,C5 4918,9:15 AM,A,Landed - Delayed,11:38 AM,,10:40 AM,
Syracuse (SYR),United Airlines,UA 4918,9:15 AM,A,Landed - Delayed,11:38 AM,,10:40 AM,
Cancun (CUN),United Airlines,UA 1050,9:20 AM,C,Landed - On-time,12:28 PM,,12:25 PM,
Greenville (GSP),CommutAir,C5 4986,9:20 AM,A,Landed - On-time,11:37 AM,,11:39 AM,
Greenville (GSP),Air Canada,AC 3161,9:20 AM,A,Landed - On-time,11:37 AM,,11:39 AM,
Greenville (GSP),United Airlines,UA 4986,9:20 AM,A,Landed - On-time,11:37 AM,,11:39 AM,
Chicago (MDW),Southwest Airlines,WN 966,9:20 AM,A,Landed - Delayed,3:31 PM,,10:55 AM,
Albany (ALB),Republic Airlines,YX 3521,9:25 AM,C,Landed - On-time,10:34 AM,,10:52 AM,
Albany (ALB),United Airlines,UA 3521,9:25 AM,C,Landed - On-time,10:34 AM,,10:52 AM,
Houston (IAH),United Airlines,UA 1078,9:25 AM,C,Landed - On-time,12:11 PM,,12:20 PM,
Houston (IAH),Air New Zealand,NZ 6603,9:25 AM,C,Landed - On-time,12:11 PM,,12:20 PM,
Chicago (ORD),American Airlines,AA 1289,9:25 AM,A,Landed - On-time,11:29 AM,,11:10 AM,
Chicago (ORD),Alaska Airlines,AS 4378,9:25 AM,A,Landed - On-time,11:29 AM,,11:10 AM,
Chicago (ORD),JAL,JL 7359,9:25 AM,A,Landed - On-time,11:29 AM,,11:10 AM,
Atlanta (ATL),Delta Air Lines,DL 1089,9:30 AM,B,Landed - On-time,11:59 AM,,11:54 AM,
Atlanta (ATL),Virgin Atlantic,VS 4459,9:30 AM,B,Landed - On-time,11:59 AM,,11:54 AM,
Seattle (SEA),Alaska Airlines,AS 791,9:30 AM,A,Landed - On-time,12:14 PM,,12:36 PM,
Seattle (SEA),Korean Air,KE 6271,9:30 AM,A,Landed - On-time,12:14 PM,,12:36 PM,
Quebec (YQB),ExpressJet,EV 4431,9:34 AM,A,Landed - On-time,11:13 AM,,11:10 AM,
Quebec (YQB),Air Canada,AC 3521,9:34 AM,A,Landed - On-time,11:13 AM,,11:10 AM,
Quebec (YQB),United Airlines,UA 4431,9:34 AM,A,Landed - On-time,11:13 AM,,11:10 AM,
Orlando (MCO),JetBlue Airways,B6 927,9:38 AM,A,Landed - On-time,12:22 PM,,12:34 PM,
Orlando (MCO),Emirates,EK 6899,9:38 AM,A,Landed - On-time,12:22 PM,,12:34 PM,
Orlando (MCO),El Al,LY 8766,9:38 AM,A,Landed - On-time,12:22 PM,,12:34 PM,
Indianapolis (IND),FedEx,FX 1585,9:39 AM,,Landed - Delayed,12:12 PM,,,
Norfolk (ORF),CommutAir,C5 4925,9:45 AM,A,Canceled,,,11:13 AM,
Norfolk (ORF),Air Canada,AC 3220,9:45 AM,A,Canceled,,,11:13 AM,
Norfolk (ORF),United Airlines,UA 4925,9:45 AM,A,Canceled,,,11:13 AM,
Indianapolis (IND),FedEx,FX 3609,9:47 AM,,Landed - On-time,11:46 AM,,,
Fort Lauderdale (FLL),United Airlines,UA 376,9:49 AM,C,Landed - On-time,1:04 PM,,12:50 PM,
Orlando (MCO),United Airlines,UA 543,9:50 AM,C,Landed - On-time,12:26 PM,,12:32 PM,
Cincinnati (CVG),Endeavor Air,9E 3953,9:59 AM,B,Landed - On-time,11:55 AM,,12:08 PM,
Cincinnati (CVG),Delta Air Lines,DL 3953,9:59 AM,B,Landed - On-time,11:55 AM,,12:08 PM,
Myrtle Beach (MYR),Spirit Airlines,NK 603,9:59 AM,B,Landed - On-time,11:34 AM,,11:52 AM,
Dulles (IAD),CommutAir,C5 4920,10:00 AM,A,Landed - On-time,11:10 AM,,11:20 AM,
Dulles (IAD),AVIANCA,AV 2233,10:00 AM,A,Landed - On-time,11:10 AM,,11:20 AM,
Dulles (IAD),South African Airways,SA 7415,10:00 AM,A,Landed - On-time,11:10 AM,,11:20 AM,
Dulles (IAD),United Airlines,UA 4920,10:00 AM,A,Landed - On-time,11:10 AM,,11:20 AM,
Los Angeles (LAX),United Airlines,UA 1244,10:00 AM,C,Landed - On-time,12:42 PM,,1:05 PM,
Los Angeles (LAX),Air New Zealand,NZ 9540,10:00 AM,C,Landed - On-time,12:42 PM,,1:05 PM,
Savannah (SAV),Allegiant Air,G4 1350,10:00 AM,B,Landed - On-time,12:11 PM,,12:20 PM,
Louisville (SDF),UPS,5X 2079,10:00 AM,,Landed - Delayed,12:35 PM,,,
Santa Ana (SNA),United Airlines,UA 788,10:00 AM,C,Landed - On-time,1:00 PM,,1:07 PM,
Santa Ana (SNA),Air Canada,AC 5836,10:00 AM,C,Landed - On-time,1:00 PM,,1:07 PM,
Charlotte (CLT),American Airlines,AA 1488,10:04 AM,A,Landed - Delayed,12:20 PM,,12:08 PM,
Bangor (BGR),Republic Airlines,YX 3534,10:05 AM,C,Landed - On-time,11:19 AM,,11:43 AM,
Bangor (BGR),United Airlines,UA 3534,10:05 AM,C,Landed - On-time,11:19 AM,,11:43 AM,
Greensboro/High Point(GSO),ExpressJet,EV 4009,10:05 AM,A,Landed - On-time,11:46 AM,,11:54 AM,
Greensboro/High Point(GSO),Air Canada,AC 3299,10:05 AM,A,Landed - On-time,11:46 AM,,11:54 AM,
Greensboro/High Point(GSO),United Airlines,UA 4009,10:05 AM,A,Landed - On-time,11:46 AM,,11:54 AM,
Santiago (STI),United Airlines,UA 1624,10:05 AM,C,Landed - Delayed,2:11 PM,,1:45 PM,
Boston (BOS),United Airlines,UA 2321,10:10 AM,C,Landed - On-time,11:02 AM,,11:19 AM,
Nassau (NAS),United Airlines,UA 1480,10:10 AM,C,Landed - Delayed,2:46 PM,,1:15 PM,
Toronto (YTZ),Porter Airlines,PD 124,10:10 AM,B,Landed - On-time,11:50 AM,,11:50 AM,
Myrtle Beach (MYR),United Airlines,UA 1770,10:15 AM,C,Landed - Delayed,12:56 PM,,12:07 PM,
Myrtle Beach (MYR),Air Canada,AC 4615,10:15 AM,C,Landed - Delayed,12:56 PM,,12:07 PM,
Phoenix (PHX),American Airlines,AA 2784,10:15 AM,A,Landed - On-time,12:31 PM,,12:36 PM,
Halifax (YHZ),Republic Airlines,YX 3528,10:15 AM,C,Landed - On-time,12:54 PM,,1:14 PM,
Halifax (YHZ),Air Canada,AC 3612,10:15 AM,C,Landed - On-time,12:54 PM,,1:14 PM,
Halifax (YHZ),United Airlines,UA 3528,10:15 AM,C,Landed - On-time,12:54 PM,,1:14 PM,
Toronto (YYZ),Sky Regional,KV 7653,10:15 AM,A,Landed - On-time,11:35 AM,,11:47 AM,
Toronto (YYZ),United Airlines,UA 8565,10:15 AM,A,Landed - On-time,11:35 AM,,11:47 AM,
Toronto (YYZ),Air Canada,AC 7653,10:15 AM,A,Landed - On-time,11:35 AM,,11:47 AM,
Fort Lauderdale (FLL),JetBlue Airways,B6 205,10:18 AM,A,Canceled,,,1:15 PM,
Fort Lauderdale (FLL),Emirates,EK 6915,10:18 AM,A,Canceled,,,1:15 PM,
Tampa (TPA),United Airlines,UA 1811,10:19 AM,C,Landed - On-time,12:57 PM,,1:11 PM,
Havana (HAV),United Airlines,UA 1502,10:25 AM,C,Landed - Delayed,2:00 PM,,1:50 PM,
Madison (MSN),ExpressJet,EV 4414,10:25 AM,A,Landed - Delayed,12:08 PM,,12:06 PM,
Madison (MSN),United Airlines,UA 4414,10:25 AM,A,Landed - Delayed,12:08 PM,,12:06 PM,
Providenciales (PLS),United Airlines,UA 1463,10:25 AM,C,Landed - On-time,2:02 PM,,2:00 PM,
San Francisco (SFO),Alaska Airlines,AS 1187,10:25 AM,A,Landed - On-time,1:15 PM,,1:38 PM,
Saint Louis (STL),CommutAir,C5 4932,10:25 AM,A,Landed - Delayed,12:23 PM,,12:12 PM,
Saint Louis (STL),United Airlines,UA 4932,10:25 AM,A,Landed - Delayed,12:23 PM,,12:12 PM,
Chicago (ORD),United Airlines,UA 1818,10:27 AM,C,Landed - Delayed,2:39 PM,,11:52 AM,
Chicago (ORD),Air Canada,AC 5206,10:27 AM,C,Landed - Delayed,2:39 PM,,11:52 AM,
Montreal (YUL),Sky Regional,KV 7739,10:30 AM,A,Landed - On-time,11:38 AM,,11:50 AM,
Montreal (YUL),United Airlines,UA 8157,10:30 AM,A,Landed - On-time,11:38 AM,,11:50 AM,
Montreal (YUL),Air Canada,AC 7739,10:30 AM,A,Landed - On-time,11:38 AM,,11:50 AM,
Las Vegas (LAS),United Airlines,UA 503,10:31 AM,C,Landed - Delayed,1:31 PM,,1:00 PM,
Las Vegas (LAS),Azul,AD 7048,10:31 AM,C,Landed - Delayed,1:31 PM,,1:00 PM,
Atlanta (ATL),Delta Air Lines,DL 2343,10:33 AM,B,Landed - On-time,12:30 PM,,1:00 PM,
Atlanta (ATL),Virgin Atlantic,VS 2183,10:33 AM,B,Landed - On-time,12:30 PM,,1:00 PM,
Cancun (CUN),United Airlines,UA 1052,10:35 AM,C,Landed - On-time,1:26 PM,,1:35 PM,
Columbus (CMH),ExpressJet,EV 4092,10:40 AM,A,Landed - On-time,12:15 PM,,12:33 PM,
Columbus (CMH),United Airlines,UA 4092,10:40 AM,A,Landed - On-time,12:15 PM,,12:33 PM,
Detroit (DTW),Republic Airlines,YX 3567,10:40 AM,C,Landed - On-time,12:17 PM,,12:41 PM,
Detroit (DTW),United Airlines,UA 3567,10:40 AM,C,Landed - On-time,12:17 PM,,12:41 PM,
Houston (IAH),United Airlines,UA 663,10:43 AM,C,Landed - Delayed,1:43 PM,,1:41 PM,
Houston (IAH),Air New Zealand,NZ 6597,10:43 AM,C,Landed - Delayed,1:43 PM,,1:41 PM,
Miami (MIA),United Airlines,UA 1415,10:44 AM,C,Landed - On-time,1:30 PM,,1:46 PM,
Miami (MIA),AVIANCA,AV 2002,10:44 AM,C,Landed - On-time,1:30 PM,,1:46 PM,
Shanghai (PVG),United Airlines,UA 86,10:45 AM,C,Landed - Delayed,2:26 PM,,1:40 PM,
Shanghai (PVG),Air China,CA 7216,10:45 AM,C,Landed - Delayed,2:26 PM,,1:40 PM,
Baltimore (BWI),ExpressJet,EV 4177,10:50 AM,A,Landed - On-time,12:00 PM,,12:20 PM,
Baltimore (BWI),United Airlines,UA 4177,10:50 AM,A,Landed - On-time,12:00 PM,,12:20 PM,
Ithaca (ITH),CommutAir,C5 4940,10:50 AM,C,Landed - On-time,11:54 AM,,12:09 PM,
Ithaca (ITH),United Airlines,UA 4940,10:50 AM,C,Landed - On-time,11:54 AM,,12:09 PM,
Providence (PVD),ExpressJet,EV 4063,10:50 AM,A,Landed - Delayed,1:05 PM,,12:09 PM,
Providence (PVD),United Airlines,UA 4063,10:50 AM,A,Landed - Delayed,1:05 PM,,12:09 PM,
Charlotte (CLT),Republic Airlines,YX 3643,10:55 AM,C,Canceled,,,12:51 PM,
Charlotte (CLT),United Airlines,UA 3643,10:55 AM,C,Canceled,,,12:51 PM,
Detroit (DTW),GoJet Airlines,G7 6191,11:00 AM,B,Landed - Delayed,1:41 PM,,12:56 PM,
Detroit (DTW),Aeromexico,AM 4301,11:00 AM,B,Landed - Delayed,1:41 PM,,12:56 PM,
Detroit (DTW),Virgin Atlantic,VS 4511,11:00 AM,B,Landed - Delayed,1:41 PM,,12:56 PM,
Detroit (DTW),Delta Air Lines,DL 6191,11:00 AM,B,Landed - Delayed,1:41 PM,,12:56 PM,
Tokyo (NRT),United Airlines,UA 79,11:00 AM,C,Landed - On-time,1:20 PM,,1:55 PM,
Tokyo (NRT),ANA,NH 6453,11:00 AM,C,Landed - On-time,1:20 PM,,1:55 PM,
Chicago (ORD),SkyWest Airlines,OO 3033,11:00 AM,A,Landed - On-time,12:38 PM,,12:43 PM,
Chicago (ORD),Alaska Airlines,AS 4247,11:00 AM,A,Landed - On-time,12:38 PM,,12:43 PM,
Chicago (ORD),British Airways,BA 5092,11:00 AM,A,Landed - On-time,12:38 PM,,12:43 PM,
Chicago (ORD),American Airlines,AA 3033,11:00 AM,A,Landed - On-time,12:38 PM,,12:43 PM,
Chicago (ORD),United Airlines,UA 2766,11:00 AM,C,Landed - Delayed,12:47 PM,,12:34 PM,
San Francisco (SFO),United Airlines,UA 1878,11:00 AM,C,Landed - On-time,1:56 PM,,2:14 PM,
San Francisco (SFO),Air New Zealand,NZ 9131,11:00 AM,C,Landed - On-time,1:56 PM,,2:14 PM,
Atlanta (ATL),United Airlines,UA 2414,11:05 AM,C,Landed - Delayed,1:47 PM,,1:30 PM,
Fort Lauderdale (FLL),United Airlines,UA 1558,11:05 AM,C,Landed - Delayed,3:30 PM,,2:07 PM,
Indianapolis (IND),CommutAir,C5 4886,11:05 AM,A,Landed - On-time,1:03 PM,,1:21 PM,
Indianapolis (IND),United Airlines,UA 4886,11:05 AM,A,Landed - On-time,1:03 PM,,1:21 PM,
Raleigh/Durham (RDU),Republic Airlines,YX 3431,11:05 AM,C,Canceled,,,12:48 PM,
Raleigh/Durham (RDU),United Airlines,UA 3431,11:05 AM,C,Canceled,,,12:48 PM,
Los Angeles (LAX),Alaska Airlines,AS 1165,11:10 AM,A,Landed - Delayed,2:44 PM,,2:25 PM,
Los Angeles (LAX),Singapore Airlines,SQ 1375,11:10 AM,A,Landed - Delayed,2:44 PM,,2:25 PM,
Toronto (YTZ),Porter Airlines,PD 126,11:10 AM,B,Landed - On-time,12:38 PM,,12:50 PM,
West Palm Beach (PBI),United Airlines,UA 343,11:12 AM,C,Landed - On-time,2:00 PM,,2:02 PM,
West Palm Beach (PBI),Air Canada,AC 5148,11:12 AM,C,Landed - On-time,2:00 PM,,2:02 PM,
Washington (DCA),ExpressJet,EV 3210,11:15 AM,C,Landed - Delayed,1:37 PM,,12:35 PM,
Washington (DCA),United Airlines,UA 3210,11:15 AM,C,Landed - Delayed,1:37 PM,,12:35 PM,
Miami (MIA),American Airlines,AA 2039,11:25 AM,A,Landed - On-time,2:30 PM,,2:35 PM,
Miami (MIA),British Airways,BA 4952,11:25 AM,A,Landed - On-time,2:30 PM,,2:35 PM,
Miami (MIA),LATAM Airlines Brasil,JJ 2052,11:25 AM,A,Landed - On-time,2:30 PM,,2:35 PM,
Miami (MIA),LATAM Airlines,LA 6583,11:25 AM,A,Landed - On-time,2:30 PM,,2:35 PM,
Richmond (RIC),CommutAir,C5 4981,11:25 AM,A,Landed - On-time,12:41 PM,,1:00 PM,
Richmond (RIC),United Airlines,UA 4981,11:25 AM,A,Landed - On-time,12:41 PM,,1:00 PM,
Toronto (YYZ),ExpressJet,EV 4269,11:29 AM,A,Landed - Delayed,1:42 PM,,1:10 PM,
Toronto (YYZ),Air Canada,AC 3097,11:29 AM,A,Landed - Delayed,1:42 PM,,1:10 PM,
Toronto (YYZ),United Airlines,UA 4269,11:29 AM,A,Landed - Delayed,1:42 PM,,1:10 PM,
Charleston (CHS),ExpressJet,EV 4457,11:30 AM,A,Landed - On-time,1:39 PM,,1:47 PM,
Charleston (CHS),Air Canada,AC 3731,11:30 AM,A,Landed - On-time,1:39 PM,,1:47 PM,
Charleston (CHS),United Airlines,UA 4457,11:30 AM,A,Landed - On-time,1:39 PM,,1:47 PM,
Charlotte (CLT),American Airlines,AA 1245,11:30 AM,A,Landed - On-time,1:27 PM,,1:26 PM,
Minneapolis (MSP),Endeavor Air,9E 3390,11:30 AM,B,Landed - On-time,1:15 PM,,1:31 PM,
Minneapolis (MSP),Virgin Atlantic,VS 4515,11:30 AM,B,Landed - On-time,1:15 PM,,1:31 PM,
Minneapolis (MSP),Delta Air Lines,DL 3390,11:30 AM,B,Landed - On-time,1:15 PM,,1:31 PM,
Rochester (ROC),CommutAir,C5 4923,11:30 AM,A,Landed - On-time,12:40 PM,,12:54 PM,
Rochester (ROC),United Airlines,UA 4923,11:30 AM,A,Landed - On-time,12:40 PM,,12:54 PM,
Nashville (BNA),United Airlines,UA 2218,11:33 AM,C,Landed - On-time,12:48 PM,,12:54 PM,
Orlando (MCO),JetBlue Airways,B6 2227,11:34 AM,A,Landed - On-time,2:14 PM,,2:22 PM,
Burlington (BTV),ExpressJet,EV 4226,11:35 AM,A,Landed - Delayed,2:11 PM,,12:58 PM,
Burlington (BTV),United Airlines,UA 4226,11:35 AM,A,Landed - Delayed,2:11 PM,,12:58 PM,
Buffalo (BUF),Republic Airlines,YX 3539,11:35 AM,C,Landed - On-time,12:41 PM,,12:59 PM,
Buffalo (BUF),United Airlines,UA 3539,11:35 AM,C,Landed - On-time,12:41 PM,,12:59 PM,
Minneapolis (MSP),Republic Airlines,YX 3497,11:35 AM,C,Landed - On-time,1:26 PM,,1:49 PM,
Minneapolis (MSP),United Airlines,UA 3497,11:35 AM,C,Landed - On-time,1:26 PM,,1:49 PM,
Denver (DEN),United Airlines,UA 1262,11:44 AM,C,Landed - On-time,1:42 PM,,1:59 PM,
Tampa (TPA),United Airlines,UA 1890,11:44 AM,C,Landed - Delayed,3:39 PM,,2:32 PM,
Beijing (PEK),United Airlines,UA 89,11:45 AM,C,Landed - On-time,1:34 PM,,1:35 PM,
Beijing (PEK),Air China,CA 7214,11:45 AM,C,Landed - On-time,1:34 PM,,1:35 PM,
Boston (BOS),United Airlines,UA 1083,11:55 AM,C,Landed - On-time,12:50 PM,,1:04 PM,
West Palm Beach (PBI),JetBlue Airways,B6 643,11:56 AM,A,Landed - On-time,3:08 PM,,2:46 PM,
West Palm Beach (PBI),El Al,LY 8769,11:56 AM,A,Landed - On-time,3:08 PM,,2:46 PM,
Grand Rapids (GRR),Republic Airlines,YX 3719,11:57 AM,C,Landed - On-time,1:49 PM,,2:10 PM,
Grand Rapids (GRR),United Airlines,UA 3719,11:57 AM,C,Landed - On-time,1:49 PM,,2:10 PM,
Atlanta (ATL),Delta Air Lines,DL 1920,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Atlanta (ATL),Jet Airways (India),9W 8407,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Atlanta (ATL),Air France,AF 2843,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Atlanta (ATL),Aeromexico,AM 5170,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Atlanta (ATL),KLM,KL 6269,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Atlanta (ATL),Virgin Atlantic,VS 4447,12:00 PM,B,Landed - On-time,2:12 PM,,2:12 PM,
Cincinnati (CVG),Allegiant Air,G4 1349,12:00 PM,B,Landed - On-time,1:56 PM,,2:00 PM,
Houston (IAH),Spirit Airlines,NK 703,12:00 PM,B,Landed - On-time,2:26 PM,,2:43 PM,
Los Angeles (LAX),United Airlines,UA 1960,12:00 PM,C,Landed - Delayed,3:21 PM,,2:57 PM,
Los Angeles (LAX),Air New Zealand,NZ 9539,12:00 PM,C,Landed - Delayed,3:21 PM,,2:57 PM,
Boston (BOS),JetBlue Airways,B6 2780,12:01 PM,A,Landed - Delayed,1:06 PM,,1:10 PM,
Orlando (MCO),United Airlines,UA 215,12:05 PM,C,Landed - On-time,2:51 PM,,2:47 PM,
Orlando (MCO),Air China,CA 7421,12:05 PM,C,Landed - On-time,2:51 PM,,2:47 PM,
Pittsburgh (PIT),Republic Airlines,YX 3426,12:05 PM,C,Landed - On-time,1:24 PM,,1:34 PM,
Pittsburgh (PIT),Air China,CA 7437,12:05 PM,C,Landed - On-time,1:24 PM,,1:34 PM,
Pittsburgh (PIT),United Airlines,UA 3426,12:05 PM,C,Landed - On-time,1:24 PM,,1:34 PM,
Santa Ana (SNA),United Airlines,UA 1877,12:09 PM,C,Landed - Delayed,4:21 PM,,3:16 PM,
Santa Ana (SNA),Air Canada,AC 5838,12:09 PM,C,Landed - Delayed,4:21 PM,,3:16 PM,
